Vocabulary-Kanji,Vocabulary-Furigana,Vocabulary-Kana,Vocabulary-English,Vocabulary-Pos,Expression,Reading,Sentence-Kana,Sentence-English,Sentence-Clozed
世の中,世[よ]の 中[なか],よのなか,"the world, society",Noun,<b>世の中</b>にはいろいろな人がいます。,<b> 世[よ]の 中[なか]</b>にはいろいろな 人[ひと]がいます。,<b>よのなか</b> に は いろいろ な ひと が います,There are many different people in the world.,<b>（　）</b>にはいろいろな 人[ひと]がいます。
中世,中世[ちゅうせい],ちゅうせい,Middle Ages,Noun,彼女は<b>中世</b>の音楽が好きです。,彼女[かのじょ]は<b> 中世[ちゅうせい]</b>の 音楽[おんがく]が 好[す]きです。,かのじょ は <b>ちゅうせい</b> の おんがく が すき です,She likes medieval music.,彼女[かのじょ]は<b>（　）</b>の 音楽[おんがく]が 好[す]きです。
世,世[よ],よ,"world, public,",Noun,やっと私の作品が<b>世</b>に出たの。,やっと 私[わたし]の 作品[さくひん]が<b> 世[よ]</b>に 出[で]たの。,やっと わたし の さくひん が <b>よ</b> に でた の,My work was finally released to the world.,やっと 私[わたし]の 作品[さくひん]が<b>（　）</b>に 出[で]たの。
明白,明白[めいはく],めいはく,"clear, plain",Adjectival Noun,彼が犯人なのは<b>明白</b>です。,彼[かれ]が 犯人[はんにん]なのは<b> 明白[めいはく]</b>です。,かれ が はんにん な の は <b>めいはく</b> です,It's clear that he's the perpetrator.,彼[かれ]が 犯人[はんにん]なのは<b>（　）</b>です。
鉄道,鉄道[てつどう],てつどう,railway,Noun,日本は<b>鉄道</b>がとても発達しています。,日本[にっぽん]は<b> 鉄道[てつどう]</b>がとても 発達[はったつ]しています。,にっぽん は <b>てつどう</b> が とても はったつ して います,The railway system in Japan is well developed.,日本[にっぽん]は<b>（　）</b>がとても 発達[はったつ]しています。
どうか,どうか,どうか,please,Adverb,<b>どうか</b>お許しください。,<b>どうか</b>お 許[ゆる]しください。,<b>どうか</b> おゆるし ください,Please forgive me.,<b>（　）</b>お 許[ゆる]しください。
鉄,鉄[てつ],てつ,iron,Noun,この鍋は<b>鉄</b>でできています。,この 鍋[なべ]は<b> 鉄[てつ]</b>でできています。,この なべ は <b>てつ</b> で できて います,This pot is made of iron.,この 鍋[なべ]は<b>（　）</b>でできています。
肉体,肉体[にくたい],にくたい,"body, flesh",Noun,<b>肉体</b>はいつか滅びます。,<b> 肉体[にくたい]</b>はいつか 滅[ほろ]びます。,<b>にくたい</b> は いつか ほろびます,Our bodies must perish at some time or another.,<b>（　）</b>はいつか 滅[ほろ]びます。
白菜,白菜[はくさい],はくさい,nappa cabbage,Noun,彼女は<b>白菜</b>の漬物が好きです。,彼女[かのじょ]は<b> 白菜[はくさい]</b>の 漬物[つけもの]が 好[す]きです。,かのじょ は <b>はくさい</b> の つけもの が すき です,She likes pickled nappa cabbage.,彼女[かのじょ]は<b>（　）</b>の 漬物[つけもの]が 好[す]きです。
日米,日米[にちべい],にちべい,Japan and U.S.,Noun,テレビで<b>日米</b>野球をやっていますよ。,テレビで<b> 日米[にちべい]</b> 野球[やきゅう]をやっていますよ。,てれび で <b>にちべい</b> やきゅう を やって います よ,A Japan vs. U.S. baseball game is being shown on television.,テレビで<b>（　）</b> 野球[やきゅう]をやっていますよ。
味方,味方[みかた],みかた,"friend, ally",Noun,母はいつも私の<b>味方</b>です。,母[はは]はいつも 私[わたし]の<b> 味方[みかた]</b>です。,はは は いつも わたし の <b>みかた</b> です,My mother always looks out for me.,母[はは]はいつも 私[わたし]の<b>（　）</b>です。
年末,年末[ねんまつ],ねんまつ,end of year,Noun,<b>年末</b>のセールはいつも込んでいるね。,<b> 年末[ねんまつ]</b>のセールはいつも 込[こ]んでいるね。,<b>ねんまつ</b> の せーる は いつも こんで いる ね,The year-end sale is always crowded.,<b>（　）</b>のセールはいつも 込[こ]んでいるね。
プロ,プロ,プロ,"pro, professional",Noun,彼はスケートの<b>プロ</b>です。,彼[かれ]はスケートの<b>プロ</b>です。,かれ は すけーと の <b>ぷろ</b> です,He's a professional skater.,彼[かれ]はスケートの<b>（　）</b>です。
末,末[まつ],まつ,"last part, end",Noun,今月<b>末</b>にカナダに行きます。,今月[こんげつ]<b> 末[まつ]</b>にカナダに 行[い]きます。,こんげつ <b>まつ</b> に かなだ に いきます,I will go to Canada at the end of this month.,今月[こんげつ]<b>（　）</b>にカナダに 行[い]きます。
料金,料金[りょうきん],りょうきん,"charge, fee",Noun,まだ<b>料金</b>は払っていないけど。,まだ<b> 料金[りょうきん]</b>は 払[はら]っていないけど。,まだ <b>りょうきん</b> は はらって いない けど,But I haven't paid the charge yet.,まだ<b>（　）</b>は 払[はら]っていないけど。
地理,地理[ちり],ちり,geography,Noun,彼は<b>地理</b>に詳しいの。,彼[かれ]は<b> 地理[ちり]</b>に 詳[くわ]しいの。,かれ は <b>ちり</b> に くわしい の,He's knowledgeable in geography.,彼[かれ]は<b>（　）</b>に 詳[くわ]しいの。
理解,理解[りかい],りかい,"understanding, comprehension",Verbal Noun,<b>理解</b>してくれてありがとう。,<b> 理解[りかい]</b>してくれてありがとう。,<b>りかい</b> して くれて ありがとう,Thank you for understanding.,<b>（　）</b>してくれてありがとう。
解く,解[と]く,とく,solve,Verb,この問題を<b>解けます</b>か。,この 問題[もんだい]を<b> 解[と]けます</b>か。,この もんだい を <b>とけます</b> か,Can you solve this question?,この 問題[もんだい]を<b>（　）</b>か。
チャンス,チャンス,チャンス,chance,Noun,これは素晴らしい<b>チャンス</b>だ。,これは 素晴[すば]らしい<b>チャンス</b>だ。,これ は すばらしい <b>ちゃんす</b> だ,This is a wonderful chance.,これは 素晴[すば]らしい<b>（　）</b>だ。
分解,分解[ぶんかい],ぶんかい,taking apart,Verbal Noun,機械を<b>分解</b>してみたの。,機械[きかい]を<b> 分解[ぶんかい]</b>してみたの。,きかい を <b>ぶんかい</b> して みた の,I tried to take the machine apart.,機械[きかい]を<b>（　）</b>してみたの。
解ける,解[と]ける,とける,"solve, resolve",Verb,やっと難しい問題が<b>解けました</b>。,やっと 難[むずか]しい 問題[もんだい]が<b> 解[と]けました</b>。,やっと むずかしい もんだい が <b>とけました</b>,We finally solved a difficult problem.,やっと 難[むずか]しい 問題[もんだい]が<b>（　）</b>。
有力,有力[ゆうりょく],ゆうりょく,"powerful, influential",Adjectival Noun,あの都市はオリンピックの<b>有力</b>な候補地です。,あの 都市[とし]はオリンピックの<b> 有力[ゆうりょく]</b>な 候補地[こうほち]です。,あの とし は おりんぴっく の <b>ゆうりょく</b> な こうほち です,That city is a strong candidate to host the Olympics.,あの 都市[とし]はオリンピックの<b>（　）</b>な 候補地[こうほち]です。
有する,有[ゆう]する,ゆうする,"have, possess",Verb,資格を<b>有する</b>人のみ応募できます。,資格[しかく]を<b> 有[ゆう]する</b> 人[ひと]のみ 応募[おうぼ]できます。,しかく を <b>ゆうする</b> ひと のみ おうぼ できます,Only qualified individuals may apply.,資格[しかく]を<b>（　）</b> 人[ひと]のみ 応募[おうぼ]できます。
有料,有料[ゆうりょう],ゆうりょう,"fee-charging, pay",Noun,このトイレは<b>有料</b>です。,このトイレは<b> 有料[ゆうりょう]</b>です。,この といれ は <b>ゆうりょう</b> です,This is a pay toilet.,このトイレは<b>（　）</b>です。
どうも,どうも,どうも,"for some reason, somehow",Adverb,今日は<b>どうも</b>体の調子が悪い。,今日[きょう]は<b>どうも</b> 体[からだ]の 調子[ちょうし]が 悪[わる]い。,きょう は <b>どうも</b> からだ の ちょうし が わるい,I don't feel very well today for some reason.,今日[きょう]は<b>（　）</b> 体[からだ]の 調子[ちょうし]が 悪[わる]い。
無理,無理[むり],むり,impossibility,Noun,<b>無理</b>はしないでください。,<b> 無理[むり]</b>はしないでください。,<b>むり</b> は しない で ください,Don't overdo it.,<b>（　）</b>はしないでください。
無料,無料[むりょう],むりょう,"no charge, free",Noun,お飲み物は<b>無料</b>でございます。,お 飲[の]み 物[もの]は<b> 無料[むりょう]</b>でございます。,お のみもの は <b>むりょう</b> で ございます,Beverages are free of charge.,お 飲[の]み 物[もの]は<b>（　）</b>でございます。
無事,無事[ぶじ],ぶじ,"safely, peacefully",Adverb,<b>無事</b>、家に着きました。,<b> 無事[ぶじ]</b>、 家[いえ]に 着[つ]きました。,<b>ぶじ</b> いえ に つきました,I arrived home safely.,<b>（　）</b>、 家[いえ]に 着[つ]きました。
無口,無口[むくち],むくち,"not speaking much, reticence",Adjectival Noun,彼女は<b>無口</b>な人ですね。,彼女[かのじょ]は<b> 無口[むくち]</b>な 人[ひと]ですね。,かのじょ は <b>むくち</b> な ひと です ね,She's a silent person.,彼女[かのじょ]は<b>（　）</b>な 人[ひと]ですね。
間も無く,間[ま]も 無[な]く,まもなく,"soon, in a short time",Adverb,あの飛行機は<b>間も無く</b>着陸しますね。,あの 飛行機[ひこうき]は<b> 間[ま]も 無[な]く</b> 着陸[ちゃくりく]しますね。,あの ひこうき は <b>まもなく</b> ちゃくりく します ね,That airplane will land soon.,あの 飛行機[ひこうき]は<b>（　）</b> 着陸[ちゃくりく]しますね。
無言,無言[むごん],むごん,"silence, muteness",Noun,彼は一日中<b>無言</b>だったな。,彼[かれ]は 一日中[いちにちじゅう]<b> 無言[むごん]</b>だったな。,かれ は いちにちじゅう <b>むごん</b> だった な,He was silent all day long.,彼[かれ]は 一日中[いちにちじゅう]<b>（　）</b>だったな。
ハード,ハード,ハード,hard,Adjective,最近、仕事がかなり<b>ハード</b>です。,最近[さいきん]、 仕事[しごと]がかなり<b>ハード</b>です。,さいきん しごと が かなり <b>はーど</b> です,"Recently, my work is pretty hard.",最近[さいきん]、 仕事[しごと]がかなり<b>（　）</b>です。
無茶,無茶[むちゃ],むちゃ,"reckless, excessive",Adjectival Noun,<b>無茶</b>をしないでくださいね。,<b> 無茶[むちゃ]</b>をしないでくださいね。,<b>むちゃ</b> を しない で ください ね,Don't be unreasonable.,<b>（　）</b>をしないでくださいね。
無理やり,無理[むり]やり,むりやり,"by force, against one's will",Adverb,荷物を<b>無理やり</b>かばんに詰めたよ。,荷物[にもつ]を<b> 無理[むり]やり</b>かばんに 詰[つ]めたよ。,にもつ を <b>むりやり</b> かばん に つめた よ,I forced my belongings into the bag.,荷物[にもつ]を<b>（　）</b>かばんに 詰[つ]めたよ。
作り上げる,作[つく]り 上[あ]げる,つくりあげる,"make up, build up",Verb,それは彼女が<b>作り上げた</b>話です。,それは 彼女[かのじょ]が<b> 作[つく]り 上[あ]げた</b> 話[はなし]です。,それ は かのじょ が <b>つくりあげた</b> はなし です,It's a story that she made up.,それは 彼女[かのじょ]が<b>（　）</b> 話[はなし]です。
作り話,作[つく]り 話[ばなし],つくりばなし,"fable, fiction",Noun,その子が言っていることは<b>作り話</b>です。,その 子[こ]が 言[い]っていることは<b> 作[つく]り 話[ばなし]</b>です。,その こ が いって いる こと は <b>つくりばなし</b> です,What that kid said is a made-up story.,その 子[こ]が 言[い]っていることは<b>（　）</b>です。
大使,大使[たいし],たいし,ambassador,Noun,彼は昔、ドイツの<b>大使</b>でした。,彼[かれ]は 昔[むかし]、ドイツの<b> 大使[たいし]</b>でした。,かれ は むかし どいつ の <b>たいし</b> でした,He was ambassador to Germany a long time ago.,彼[かれ]は 昔[むかし]、ドイツの<b>（　）</b>でした。
マイナス,マイナス,マイナス,"minus, below zero",Verbal Noun,外の温度は<b>マイナス</b>3度です。,外[そと]の 温度[おんど]は<b>マイナス</b>3 度[ど]です。,そと の おんど は <b>まいなす</b> 3 ど です,The temperature outside is minus three degrees.,外[そと]の 温度[おんど]は<b>（　）</b>3 度[ど]です。
使い道,使[つか]い 道[みち],つかいみち,"use, application",Noun,ボーナスの<b>使い道</b>を考えているところです。,ボーナスの<b> 使[つか]い 道[みち]</b>を 考[かんが]えているところです。,ぼーなす の <b>つかいみち</b> を かんがえて いる ところ です,I'm just thinking about how to use my bonus.,ボーナスの<b>（　）</b>を 考[かんが]えているところです。
使い,使[つか]い,つかい,errand,Noun,主人の<b>使い</b>で市役所に行くところです。,主人[しゅじん]の<b> 使[つか]い</b>で 市役所[しやくしょ]に 行[い]くところです。,しゅじん の <b>つかい</b> で しやくしょ に いく ところ です,I'm about to go to city hall on an errand for my husband.,主人[しゅじん]の<b>（　）</b>で 市役所[しやくしょ]に 行[い]くところです。
用,用[よう],よう,things to do,Noun,私に何か<b>用</b>ですか。,私[わたし]に 何[なに]か<b> 用[よう]</b>ですか。,わたし に なにか <b>よう</b> です か,Do you need me for something?,私[わたし]に 何[なに]か<b>（　）</b>ですか。
無用,無用[むよう],むよう,"useless, unnecessary",Adjectival Noun,心配は<b>無用</b>です。,心配[しんぱい]は<b> 無用[むよう]</b>です。,しんぱい は <b>むよう</b> です,There's no need to worry.,心配[しんぱい]は<b>（　）</b>です。
費用,費用[ひよう],ひよう,expenses,Noun,イタリア旅行の<b>費用</b>は30万円です。,イタリア 旅行[りょこう]の<b> 費用[ひよう]</b>は30 万円[まんえん]です。,いたりあ りょこう の <b>ひよう</b> は 30 まんえん です,"The cost of the trip to Italy is 300,000 yen.",イタリア 旅行[りょこう]の<b>（　）</b>は30 万円[まんえん]です。
とにかく,とにかく,とにかく,"in any case, anyway",Adverb,<b>とにかく</b>現場へ行ってみましょう。,<b>とにかく</b> 現場[げんば]へ 行[い]ってみましょう。,<b>とにかく</b> げんば へ いって みましょう,"Anyway, let's go to the site.",<b>（　）</b> 現場[げんば]へ 行[い]ってみましょう。
費やす,費[つい]やす,ついやす,"expend, waste",Verb,私は語学の勉強にかなりの時間を<b>費やしています</b>。,私[わたし]は 語学[ごがく]の 勉強[べんきょう]にかなりの 時間[じかん]を<b> 費[つい]やしています</b>。,わたし は ごがく の べんきょう に かなり の じかん を <b>ついやして います</b>,I have spent considerable time on language study.,私[わたし]は 語学[ごがく]の 勉強[べんきょう]にかなりの 時間[じかん]を<b>（　）</b>。
安売り,安売[やすう]り,やすうり,sale,Verbal Noun,あの店で野菜の<b>安売り</b>をしていましたよ。,あの 店[みせ]で 野菜[やさい]の<b> 安売[やすう]り</b>をしていましたよ。,あの みせ で やさい の <b>やすうり</b> を して いました よ,Vegetables were on special at that store.,あの 店[みせ]で 野菜[やさい]の<b>（　）</b>をしていましたよ。
売買,売買[ばいばい],ばいばい,"buying and selling, trade",Verbal Noun,彼は不動産の<b>売買</b>をしています。,彼[かれ]は 不動産[ふどうさん]の<b> 売買[ばいばい]</b>をしています。,かれ は ふどうさん の <b>ばいばい</b> を して います,He buys and sells real estate.,彼[かれ]は 不動産[ふどうさん]の<b>（　）</b>をしています。
閉店,閉店[へいてん],へいてん,shop closing,Verbal Noun,この店は8時に<b>閉店</b>します。,この 店[みせ]は8 時[じ]に<b> 閉店[へいてん]</b>します。,この みせ は 8 じ に <b>へいてん</b> します,This shop closes at eight o'clock.,この 店[みせ]は8 時[じ]に<b>（　）</b>します。
本店,本店[ほんてん],ほんてん,head office,Noun,ここはチェーン店の<b>本店</b>です。,ここはチェーン 店[てん]の<b> 本店[ほんてん]</b>です。,ここ は ちぇーんてん の <b>ほんてん</b> です,This is the headquarters of the chain.,ここはチェーン 店[てん]の<b>（　）</b>です。
パイプ,パイプ,パイプ,pipe,Noun,この<b>パイプ</b>は詰まっていますよ。,この<b>パイプ</b>は 詰[つ]まっていますよ。,この <b>ぱいぷ</b> は つまって います よ,This pipe is blocked.,この<b>（　）</b>は 詰[つ]まっていますよ。
部品,部品[ぶひん],ぶひん,"parts, accessories",Noun,車の<b>部品</b>を取り替えたんだ。,車[くるま]の<b> 部品[ぶひん]</b>を 取[と]り 替[か]えたんだ。,くるま の <b>ぶひん</b> を とりかえた ん だ,I changed some parts of the car.,車[くるま]の<b>（　）</b>を 取[と]り 替[か]えたんだ。
日用品,日用品[にちようひん],にちようひん,"groceries, daily necessities",Noun,今日は<b>日用品</b>の買い物をした。,今日[きょう]は<b> 日用品[にちようひん]</b>の 買[か]い 物[もの]をした。,きょう は <b>にちようひん</b> の かいもの を した,I did grocery shopping today.,今日[きょう]は<b>（　）</b>の 買[か]い 物[もの]をした。
段,段[だん],だん,"step, grade",Noun,この階<b>段</b>は18段ありますね。,この 階[かい]<b> 段[だん]</b>は18 段[だん]ありますね。,この かい<b>だん</b> は 18 だん あります ね,There are 18 steps in this staircase.,この 階[かい]<b>（　）</b>は18 段[だん]ありますね。
値上がり,値上[ねあ]がり,ねあがり,price rise,Verbal Noun,野菜が<b>値上がり</b>していますね。,野菜[やさい]が<b> 値上[ねあ]がり</b>していますね。,やさい が <b>ねあがり</b> して います ね,The price of vegetables is going up.,野菜[やさい]が<b>（　）</b>していますね。
値上げ,値上[ねあ]げ,ねあげ,price hike,Verbal Noun,バス代が<b>値上げ</b>されました。,バス 代[だい]が<b> 値上[ねあ]げ</b>されました。,ばすだい が <b>ねあげ</b> されました,Bus fares were raised.,バス 代[だい]が<b>（　）</b>されました。
値下がり,値下[ねさ]がり,ねさがり,fall in price,Verbal Noun,ガソリンが<b>値下がり</b>しました。,ガソリンが<b> 値下[ねさ]がり</b>しました。,がそりん が <b>ねさがり</b> しました,The price of gasoline has gone down.,ガソリンが<b>（　）</b>しました。
たちまち,たちまち,たちまち,"in a moment, instantly",Adverb,空が<b>たちまち</b>曇ってきたね。,空[そら]が<b>たちまち</b> 曇[くも]ってきたね。,そら が <b>たちまち</b> くもって きた ね,The sky suddenly clouded over.,空[そら]が<b>（　）</b> 曇[くも]ってきたね。
値下げ,値下[ねさ]げ,ねさげ,price reduction,Verbal Noun,電話料金が<b>値下げ</b>された。,電話料金[でんわ りょうきん]が<b> 値下[ねさ]げ</b>された。,でんわ りょうきん が <b>ねさげ</b> された,My phone charge was reduced.,電話料金[でんわ りょうきん]が<b>（　）</b>された。
地価,地価[ちか],ちか,price of land,Noun,東京の<b>地価</b>は上がり続けているんだ。,東京[とうきょう]の<b> 地価[ちか]</b>は 上[あ]がり 続[つづ]けているんだ。,とうきょう の <b>ちか</b> は あがりつづけて いる ん だ,The price of land in Tokyo keeps going up.,東京[とうきょう]の<b>（　）</b>は 上[あ]がり 続[つづ]けているんだ。
体格,体格[たいかく],たいかく,"physique, build",Noun,彼はとても<b>体格</b>がいいわ。,彼[かれ]はとても<b> 体格[たいかく]</b>がいいわ。,かれ は とても <b>たいかく</b> が いい わ,He has a very nice body.,彼[かれ]はとても<b>（　）</b>がいいわ。
冬季,冬季[とうき],とうき,winter season,Noun,次の<b>冬季</b>オリンピックは2年後です。,次[つぎ]の<b> 冬季[とうき]</b>オリンピックは2 年後[ねんご]です。,つぎ の <b>とうき</b> おりんぴっく は 2 ねんご です,The next Winter Olympics will be in two years.,次[つぎ]の<b>（　）</b>オリンピックは2 年後[ねんご]です。
熱する,熱[ねっ]する,ねっする,"heat, become hot",Verb,鉄は<b>熱する</b>と曲がるんだ。,鉄[てつ]は<b> 熱[ねっ]する</b>と 曲[ま]がるんだ。,てつ は <b>ねっする</b> と まがる ん だ,Iron bends if you heat it.,鉄[てつ]は<b>（　）</b>と 曲[ま]がるんだ。
プラス,プラス,プラス,"plus, advantage",Verbal Noun,この経験はあなたにとって<b>プラス</b>になるでしょう。,この 経験[けいけん]はあなたにとって<b>プラス</b>になるでしょう。,この けいけん は あなた に とって <b>ぷらす</b> に なる でしょう,This experience will be a good thing for you.,この 経験[けいけん]はあなたにとって<b>（　）</b>になるでしょう。
低温,低温[ていおん],ていおん,low temperature,Noun,この製品は<b>低温</b>で保存してください。,この 製品[せいひん]は<b> 低温[ていおん]</b>で 保存[ほぞん]してください。,この せいひん は <b>ていおん</b> で ほぞん して ください,Please store this product at a low temperature.,この 製品[せいひん]は<b>（　）</b>で 保存[ほぞん]してください。
体温,体温[たいおん],たいおん,body temperature,Noun,今朝の<b>体温</b>は36度でした。,今朝[けさ]の<b> 体温[たいおん]</b>は36 度[ど]でした。,けさ の <b>たいおん</b> は 36 ど でした,My temperature this morning was 36 degrees.,今朝[けさ]の<b>（　）</b>は36 度[ど]でした。
友情,友情[ゆうじょう],ゆうじょう,friendship,Noun,彼らは強い<b>友情</b>で結ばれているな。,彼[かれ]らは 強[つよ]い<b> 友情[ゆうじょう]</b>で 結[むす]ばれているな。,かれら は つよい <b>ゆうじょう</b> で むすばれて いる な,They're tied by a strong friendship.,彼[かれ]らは 強[つよ]い<b>（　）</b>で 結[むす]ばれているな。
人情,人情[にんじょう],にんじょう,"human feelings, humanity",Noun,この町の人たちには<b>人情</b>があるね。,この 町[まち]の 人[ひと]たちには<b> 人情[にんじょう]</b>があるね。,この まち の ひとたち に は <b>にんじょう</b> が ある ね,The people in this town have humanity.,この 町[まち]の 人[ひと]たちには<b>（　）</b>があるね。
情けない,情[なさ]けない,なさけない,"pitiful, shameful",Adjective,こんなことも知らないとは<b>情けない</b>。,こんなことも 知[し]らないとは<b> 情[なさ]けない</b>。,こんな こと も しらない と は <b>なさけない</b>,It's pretty sad you don't even know something like that.,こんなことも 知[し]らないとは<b>（　）</b>。
リード,リード,リード,"the lead, take a lead",Verbal Noun,彼は彼女を<b>リード</b>しながら踊ったね。,彼[かれ]は 彼女[かのじょ]を<b>リード</b>しながら 踊[おど]ったね。,かれ は かのじょ を <b>りーど</b> しながら おどった ね,He led her in the dance.,彼[かれ]は 彼女[かのじょ]を<b>（　）</b>しながら 踊[おど]ったね。
報道,報道[ほうどう],ほうどう,"news, report",Verbal Noun,夜中もテレビで台風の<b>報道</b>をしていた。,夜中[よなか]もテレビで 台風[たいふう]の<b> 報道[ほうどう]</b>をしていた。,よなか も てれび で たいふう の <b>ほうどう</b> を して いた,The typhoon was also reported on television during the night.,夜中[よなか]もテレビで 台風[たいふう]の<b>（　）</b>をしていた。
電報,電報[でんぽう],でんぽう,telegram,Noun,実家の母から<b>電報</b>が来ました。,実家[じっか]の 母[はは]から<b> 電報[でんぽう]</b>が 来[き]ました。,じっか の はは から <b>でんぽう</b> が きました,A telegram came from my mother at home.,実家[じっか]の 母[はは]から<b>（　）</b>が 来[き]ました。
中古,中古[ちゅうこ],ちゅうこ,secondhand goods,Noun,その車は<b>中古</b>で買ったんだ。,その 車[くるま]は<b> 中古[ちゅうこ]</b>で 買[か]ったんだ。,その くるま は <b>ちゅうこ</b> で かった ん だ,I bought that car second hand.,その 車[くるま]は<b>（　）</b>で 買[か]ったんだ。
古本,古本[ふるほん],ふるほん,secondhand book,Noun,おととい<b>古本</b>を3冊買いました。,おととい<b> 古本[ふるほん]</b>を3 冊買[さつ か]いました。,おととい <b>ふるほん</b> を 3 さつ かいました,I bought three secondhand books the day before yesterday.,おととい<b>（　）</b>を3 冊買[さつ か]いました。
昔,昔[むかし],むかし,"old times, the old days",Noun,彼は昔は<b>貧乏</b>だった。,彼[かれ]は<b> 昔[むかし]</b>は 貧乏[びんぼう]だった。,かれ は <b>むかし</b> は びんぼう だった,He used to be poor.,彼[かれ]は<b>（　）</b>は 貧乏[びんぼう]だった。
悪口,悪口[わるくち],わるくち,"slander, abuse",Noun,彼は決して人の<b>悪口</b>を言わないの。,彼[かれ]は 決[けっ]して 人[ひと]の<b> 悪口[わるくち]</b>を 言[い]わないの。,かれ は けっして ひと の <b>わるくち</b> を いわない の,He never speaks ill of people.,彼[かれ]は 決[けっ]して 人[ひと]の<b>（　）</b>を 言[い]わないの。
たとえ,たとえ,たとえ,"even if, granting that",Adverb,<b>たとえ</b>、嵐になっても絶対に行く。,<b>たとえ</b>、 嵐[あらし]になっても 絶対[ぜったい]に 行[い]く。,<b>たとえ</b> あらし に なって も ぜったい に いく,I'll absolutely go even if the storm comes.,<b>（　）</b>、 嵐[あらし]になっても 絶対[ぜったい]に 行[い]く。
熱心,熱心[ねっしん],ねっしん,"enthusiasm, zeal",Adjectival Noun,彼女は4年間<b>熱心</b>に勉強したわ。,彼女[かのじょ]は4 年間[ねんかん]<b> 熱心[ねっしん]</b>に 勉強[べんきょう]したわ。,かのじょ は 4 ねんかん <b>ねっしん</b> に べんきょう した わ,She studied hard for four years.,彼女[かのじょ]は4 年間[ねんかん]<b>（　）</b>に 勉強[べんきょう]したわ。
良心,良心[りょうしん],りょうしん,conscience,Noun,私は<b>良心</b>に従って行動します。,私[わたし]は<b> 良心[りょうしん]</b>に 従[したが]って 行動[こうどう]します。,わたし は <b>りょうしん</b> に したがって こうどう します,I behave according to my conscience.,私[わたし]は<b>（　）</b>に 従[したが]って 行動[こうどう]します。
内心,内心[ないしん],ないしん,"back of one's mind, one's real intention",Noun,彼女は<b>内心</b>どきどきしていましたよ。,彼女[かのじょ]は<b> 内心[ないしん]</b>どきどきしていましたよ。,かのじょ は <b>ないしん</b> どきどき して いました よ,"Inside, her heart was pounding.",彼女[かのじょ]は<b>（　）</b>どきどきしていましたよ。
用心,用心[ようじん],ようじん,"care, caution",Verbal Noun,夜道は<b>用心</b>して歩きましょう。,夜道[よみち]は<b> 用心[ようじん]</b>して 歩[ある]きましょう。,よみち は <b>ようじん</b> して あるきましょう,Be careful when walking at night.,夜道[よみち]は<b>（　）</b>して 歩[ある]きましょう。
忘年会,忘年会[ぼうねんかい],ぼうねんかい,year-end party,Noun,明日は会社の<b>忘年会</b>があります。,明日[あした]は 会社[かいしゃ]の<b> 忘年会[ぼうねんかい]</b>があります。,あした は かいしゃ の <b>ぼうねんかい</b> が あります,The company will have a year-end party tomorrow.,明日[あした]は 会社[かいしゃ]の<b>（　）</b>があります。
なるべく,なるべく,なるべく,"as...as possible, if possible",Adverb,<b>なるべく</b>早く仕事を終わらせてください。,<b>なるべく</b> 早[はや]く 仕事[しごと]を 終[お]わらせてください。,<b>なるべく</b> はやく しごと を おわらせて ください,Please complete your work as early as possible.,<b>（　）</b> 早[はや]く 仕事[しごと]を 終[お]わらせてください。
度忘れ,度忘[どわす]れ,どわすれ,"memory lapse, mental block",Verbal Noun,彼の名前を<b>度忘れ</b>したぞ。,彼[かれ]の 名前[なまえ]を<b> 度忘[どわす]れ</b>したぞ。,かれ の なまえ を <b>どわすれ</b> した ぞ,His name has completely slipped from my memory.,彼[かれ]の 名前[なまえ]を<b>（　）</b>したぞ。
知事,知事[ちじ],ちじ,governor,Noun,彼は有能な<b>知事</b>ね。,彼[かれ]は 有能[ゆうのう]な<b> 知事[ちじ]</b>ね。,かれ は ゆうのう な <b>ちじ</b> ね,He's a capable governor.,彼[かれ]は 有能[ゆうのう]な<b>（　）</b>ね。
未知,未知[みち],みち,unknown,Noun,ここからは<b>未知</b>の領域です。,ここからは<b> 未知[みち]</b>の 領域[りょういき]です。,ここ から は <b>みち</b> の りょういき です,It's an unknown area from here on.,ここからは<b>（　）</b>の 領域[りょういき]です。
通知,通知[つうち],つうち,notification,Verbal Noun,明日、詳細を<b>通知</b>します。,明日[あす]、 詳細[しょうさい]を<b> 通知[つうち]</b>します。,あす、 しょうさい を <b>つうち</b> します,I'll notify you of the details tomorrow.,明日[あす]、 詳細[しょうさい]を<b>（　）</b>します。
無知,無知[むち],むち,ignorance,Adjectival Noun,彼女は政治について<b>無知</b>でした。,彼女[かのじょ]は 政治[せいじ]について<b> 無知[むち]</b>でした。,かのじょ は せいじ に ついて <b>むち</b> でした,She was ignorant about politics.,彼女[かのじょ]は 政治[せいじ]について<b>（　）</b>でした。
テーマ,テーマ,テーマ,"the theme, the subject",Noun,講演の<b>テーマ</b>は何ですか。,講演[こうえん]の<b>テーマ</b>は 何[なん]ですか。,こうえん の <b>てーま</b> は なん です か,What's the subject of the lecture?,講演[こうえん]の<b>（　）</b>は 何[なん]ですか。
知人,知人[ちじん],ちじん,"acquaintance, friend",Noun,彼は昔からの<b>知人</b>です。,彼[かれ]は 昔[むかし]からの<b> 知人[ちじん]</b>です。,かれ は むかし から の <b>ちじん</b> です,He's an old acquaintance.,彼[かれ]は 昔[むかし]からの<b>（　）</b>です。
